#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
302026:6147,08/30/17 06:49:09,30,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000435613,0.000387657
302029:6147,08/30/17 07:16:38,92,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001551150,0.001273462
302031:6147,08/30/17 08:08:29,814,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.014390086,0.013785919
302033:6147,08/30/17 13:34:23,41,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000928010,0.000854838
302034:6147,08/30/17 13:54:42,12,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000269843,0.000080591
302037:6147,08/30/17 14:25:38,2,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000043681,0.000010073
302038:6147,08/30/17 14:31:57,1,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000021685,0.000001497
302040:6147,08/30/17 14:35:43,168,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.003572066,0.003492474
302041:6147,08/30/17 15:44:00,65,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001317963,0.001289689
302042:6147,08/30/17 16:12:11,516,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.009360993,0.009163931
302043:6147,08/30/17 19:35:17,228,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.003870781,0.003794239
302131:6152,08/31/17 12:32:49,873,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.016807621,0.016444183
302159:6155,09/01/17 00:37:45,108,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001887927,0.001786290
302163:6156,09/01/17 03:33:23,1189,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.021770084,0.021041444
302165:6156,09/01/17 11:25:29,80,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001206585,0.001148331
302166:6156,09/01/17 11:58:48,16,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.000257230,0.000253137
302225:6158,09/01/17 18:41:42,868,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.015472612,0.015134273
302228:6159,09/02/17 03:31:11,234,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.004356926,0.004194057
302229:6159,09/02/17 05:05:33,457,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.007690177,0.007507865
302240:6160,09/02/17 10:53:49,960,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.017947057,0.017570449
302262:6161,09/03/17 03:32:01,428,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.007525707,0.007249439
302263:6161,09/03/17 06:21:33,1250,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.023637807,0.023149129
302277:6165,09/03/17 22:44:53,372,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.006151712,0.005973457
302279:6165,09/04/17 07:35:57,70,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001712578,0.001593109
302280:6165,09/04/17 08:06:51,152,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.004269600,0.004203798
302322:6167,09/04/17 17:43:03,838,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.015986510,0.015603815
302328:6168,09/05/17 01:49:04,681,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.012163430,0.011823816
302337:6169,09/05/17 09:16:54,127,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.002016550,0.001868854
302342:6169,09/05/17 10:22:40,54,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001018555,0.000770359
302343:6169,09/05/17 10:52:16,97,HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v8,0.001763466,0.001702027
